p1:i283	p1	2
p1:i250	p1	2
p1:i294	p1	2
p1:i411	p1	2
p1:i116	p1	2
p1:i394	p1	2
p1:i266	p1	2
p1:i88	p1	2
p1:i102	p1	2
p1:i144	p1	2
p1:i252	p1	2
p1:i45	p1	2
p1:i475	p1	2
p1:i301	p1	2
p1:i149	p1	2
p1:i295	p1	2
p1:i495	p1	2
p1:i477	p1	2
p1:i163	p1	2
p1:i467	p1	2
p2:i463	p2	2
p2:i191	p2	2
p2:i395	p2	2
p2:i67	p2	2
p2:i453	p2	2
p2:i265	p2	2
p2:i429	p2	2
p2:i279	p2	2
p2:i242	p2	2
p2:i59	p2	2
p2:i366	p2	2
p2:i325	p2	2
p2:i102	p2	2
p2:i380	p2	2
p2:i71	p2	2
p2:i206	p2	2
p2:i343	p2	2
p2:i200	p2	2
p2:i385	p2	2
p2:i195	p2	2
p3:i124	p3	2
p3:i39	p3	2
p3:i181	p3	2
p3:i8	p3	2
p3:i111	p3	2
p3:i85	p3	2
p3:i51	p3	2
p3:i178	p3	2
p3:i121	p3	2
p3:i131	p3	2
p3:i69	p3	2
p3:i80	p3	2
p3:i73	p3	2
p3:i103	p3	2
p3:i64	p3	2
p3:i26	p3	2
p3:i45	p3	2
p3:i48	p3	2
p3:i127	p3	2
p3:i134	p3	2
